job_title,experience_level,employment_type,work_models,work_year,employee_residence,salary,salary_currency,salary_in_usd,company_location,company_size
Director of Data Science,Executive-level,Full-time,On-site,2024,United States,180000,USD,180000,United States,Medium
MLOps Engineer,Senior-level,Full-time,On-site,2024,United States,175000,USD,175000,United States,Medium
MLOps Engineer,Senior-level,Full-time,On-site,2024,United States,110000,USD,110000,United States,Medium
Machine Learning Scientist,Senior-level,Full-time,On-site,2024,United States,252000,USD,252000,United States,Medium
Machine Learning Scientist,Senior-level,Full-time,On-site,2024,United States,157500,USD,157500,United States,Medium
Machine Learning Engineer,Senior-level,Full-time,On-site,2024,United States,267900,USD,267900,United States,Medium
Machine Learning Engineer,Senior-level,Full-time,On-site,2024,United States,234700,USD,234700,United States,Medium
Data Analyst,Entry-level,Full-time,On-site,2024,United States,195500,USD,195500,United States,Medium
Data Analyst,Entry-level,Full-time,On-site,2024,United States,68000,USD,68000,United States,Medium
Data Science Manager,Senior-level,Full-time,Remote,2024,United States,120000,USD,120000,United States,Medium
Data Science Manager,Senior-level,Full-time,Remote,2024,United States,90000,USD,90000,United States,Medium
Data Scientist,Senior-level,Full-time,On-site,2024,United States,242000,USD,242000,United States,Medium
Data Scientist,Senior-level,Full-time,On-site,2024,United States,106200,USD,106200,United States,Medium
Machine Learning Engineer,Senior-level,Full-time,On-site,2024,United States,215000,USD,215000,United States,Medium
Machine Learning Engineer,Senior-level,Full-time,On-site,2024,United States,146900,USD,146900,United States,Medium
Applied Scientist,Mid-level,Full-time,On-site,2024,United States,222200,USD,222200,United States,Large
Applied Scientist,Mid-level,Full-time,On-site,2024,United States,136000,USD,136000,United States,Large
Data Scientist,Mid-level,Full-time,Remote,2024,United States,246000,USD,246000,United States,Medium
Data Scientist,Mid-level,Full-time,Remote,2024,United States,190000,USD,190000,United States,Medium
Data Engineer,Mid-level,Full-time,Remote,2024,United States,165000,USD,165000,United States,Medium
Data Engineer,Mid-level,Full-time,Remote,2024,United States,129600,USD,129600,United States,Medium
Business Intelligence Analyst,Mid-level,Full-time,On-site,2024,United States,200400,USD,200400,United States,Medium
Business Intelligence Analyst,Mid-level,Full-time,On-site,2024,United States,126900,USD,126900,United States,Medium
Machine Learning Engineer,Senior-level,Full-time,Remote,2024,United States,322000,USD,322000,United States,Medium
Machine Learning Engineer,Senior-level,Full-time,Remote,2024,United States,230000,USD,230000,United States,Medium
Data Analyst,Senior-level,Full-time,On-site,2024,United States,175520,USD,175520,United States,Medium
Data Analyst,Senior-level,Full-time,On-site,2024,United States,103786,USD,103786,United States,Medium
Analytics Engineer,Senior-level,Full-time,Remote,2024,United States,170000,USD,170000,United States,Medium
Analytics Engineer,Senior-level,Full-time,Remote,2024,United States,130000,USD,130000,United States,Medium
Data Scientist,Senior-level,Full-time,On-site,2024,United States,195000,USD,195000,United States,Medium
Data Scientist,Senior-level,Full-time,On-site,2024,United States,146900,USD,146900,United States,Medium
Data Scientist,Mid-level,Full-time,Remote,2024,United States,170400,USD,170400,United States,Medium
Data Scientist,Mid-level,Full-time,Remote,2024,United States,106500,USD,106500,United States,Medium
Data Analyst,Mid-level,Full-time,On-site,2024,United States,134500,USD,134500,United States,Medium
Data Analyst,Mid-level,Full-time,On-site,2024,United States,100000,USD,100000,United States,Medium
Data Engineer,Mid-level,Full-time,On-site,2024,United States,159000,USD,159000,United States,Medium
Data Engineer,Mid-level,Full-time,On-site,2024,United States,111300,USD,111300,United States,Medium
Machine Learning Engineer,Mid-level,Full-time,On-site,2024,United States,173400,USD,173400,United States,Medium
Machine Learning Engineer,Mid-level,Full-time,On-site,2024,United States,99100,USD,99100,United States,Medium
Business Intelligence Engineer,Senior-level,Full-time,On-site,2024,United States,185000,USD,185000,United States,Large
Business Intelligence Engineer,Senior-level,Full-time,On-site,2024,United States,79600,USD,79600,United States,Large
Data Science,Executive-level,Full-time,Remote,2024,United States,323700,USD,323700,United States,Medium
Data Science,Executive-level,Full-time,Remote,2024,United States,190500,USD,190500,United States,Medium
Data Scientist,Senior-level,Full-time,On-site,2024,United States,218000,USD,218000,United States,Medium
Data Scientist,Senior-level,Full-time,On-site,2024,United States,145000,USD,145000,United States,Medium
Research Scientist,Senior-level,Full-time,On-site,2024,United States,258100,USD,258100,United States,Medium
Research Scientist,Senior-level,Full-time,On-site,2024,United States,151900,USD,151900,United States,Medium
Data Science,Mid-level,Full-time,On-site,2024,United States,179000,USD,179000,United States,Medium
Data Science,Mid-level,Full-time,On-site,2024,United States,106500,USD,106500,United States,Medium
Data Scientist,Mid-level,Full-time,On-site,2024,United States,212800,USD,212800,United States,Large
Data Scientist,Mid-level,Full-time,On-site,2024,United States,111600,USD,111600,United States,Large
Machine Learning Engineer,Senior-level,Full-time,Remote,2024,United States,166700,USD,166700,United States,Medium
Machine Learning Engineer,Senior-level,Full-time,Remote,2024,United States,150000,USD,150000,United States,Medium
Machine Learning Engineer,Senior-level,Full-time,On-site,2024,United States,220000,USD,220000,United States,Medium
Machine Learning Engineer,Senior-level,Full-time,On-site,2024,United States,170000,USD,170000,United States,Medium
Machine Learning Engineer,Senior-level,Full-time,Remote,2024,United States,418000,USD,418000,United States,Medium
Machine Learning Engineer,Senior-level,Full-time,Remote,2024,United States,141000,USD,141000,United States,Medium
Research Engineer,Senior-level,Full-time,On-site,2024,United States,440000,USD,440000,United States,Medium
Research Engineer,Senior-level,Full-time,On-site,2024,United States,100000,USD,100000,United States,Medium
Managing Director Data Science,Executive-level,Full-time,Hybrid,2024,United States,260000,USD,260000,United States,Large
Data Scientist,Executive-level,Full-time,On-site,2024,United States,246100,USD,246100,United States,Medium
Data Scientist,Executive-level,Full-time,On-site,2024,United States,181900,USD,181900,United States,Medium
Machine Learning Engineer,Entry-level,Full-time,On-site,2024,United States,91000,USD,91000,United States,Medium
Machine Learning Engineer,Entry-level,Full-time,On-site,2024,United States,70000,USD,70000,United States,Medium
Business Intelligence Developer,Executive-level,Full-time,On-site,2024,United States,177500,USD,177500,United States,Medium
Business Intelligence Developer,Executive-level,Full-time,On-site,2024,United States,117500,USD,117500,United States,Medium
Business Intelligence Analyst,Entry-level,Full-time,On-site,2024,United States,95000,USD,95000,United States,Medium
Business Intelligence Analyst,Entry-level,Full-time,On-site,2024,United States,70000,USD,70000,United States,Medium
Data Science,Senior-level,Full-time,On-site,2024,United States,258720,USD,258720,United States,Medium
Data Science,Senior-level,Full-time,On-site,2024,United States,160000,USD,160000,United States,Medium
BI Developer,Mid-level,Full-time,On-site,2024,United States,154800,USD,154800,United States,Medium
BI Developer,Mid-level,Full-time,On-site,2024,United States,76300,USD,76300,United States,Medium
AI Engineer,Mid-level,Full-time,On-site,2024,United States,170200,USD,170200,United States,Medium
AI Engineer,Mid-level,Full-time,On-site,2024,United States,83900,USD,83900,United States,Medium
Data Engineer,Senior-level,Full-time,Remote,2024,United States,205000,USD,205000,United States,Medium
Data Engineer,Senior-level,Full-time,Remote,2024,United States,165000,USD,165000,United States,Medium
Data Scientist,Mid-level,Full-time,On-site,2024,United States,250000,USD,250000,United States,Medium
Data Scientist,Mid-level,Full-time,On-site,2024,United States,131600,USD,131600,United States,Medium
Data Scientist,Senior-level,Full-time,On-site,2024,United States,240000,USD,240000,United States,Medium
Data Scientist,Senior-level,Full-time,On-site,2024,United States,187000,USD,187000,United States,Medium
Data Engineer,Mid-level,Full-time,On-site,2024,United States,134600,USD,134600,United States,Medium
Data Engineer,Mid-level,Full-time,On-site,2024,United States,103000,USD,103000,United States,Medium
Machine Learning Engineer,Senior-level,Full-time,On-site,2024,United States,324000,USD,324000,United States,Medium
Machine Learning Engineer,Senior-level,Full-time,On-site,2024,United States,159000,USD,159000,United States,Medium
Data Engineer,Senior-level,Full-time,On-site,2024,United States,385000,USD,385000,United States,Medium
Data Engineer,Senior-level,Full-time,On-site,2024,United States,245000,USD,245000,United States,Medium
Data Scientist,Mid-level,Full-time,On-site,2024,United States,385000,USD,385000,United States,Medium
Data Scientist,Mid-level,Full-time,On-site,2024,United States,245000,USD,245000,United States,Medium
Data Engineer,Mid-level,Full-time,On-site,2024,United States,214300,USD,214300,United States,Medium
Data Engineer,Mid-level,Full-time,On-site,2024,United States,108500,USD,108500,United States,Medium
Machine Learning Engineer,Senior-level,Full-time,On-site,2024,United States,245700,USD,245700,United States,Medium
Machine Learning Engineer,Senior-level,Full-time,On-site,2024,United States,132300,USD,132300,United States,Medium
Data Specialist,Mid-level,Full-time,On-site,2024,United States,80000,USD,80000,United States,Medium
Data Specialist,Mid-level,Full-time,On-site,2024,United States,73000,USD,73000,United States,Medium
Machine Learning Engineer,Senior-level,Full-time,Remote,2024,United States,263500,USD,263500,United States,Medium
Machine Learning Engineer,Senior-level,Full-time,Remote,2024,United States,189360,USD,189360,United States,Medium
Data Architect,Senior-level,Full-time,Remote,2024,United States,175000,USD,175000,United States,Medium
Data Architect,Senior-level,Full-time,Remote,2024,United States,125000,USD,125000,United States,Medium
Data Science,Executive-level,Full-time,On-site,2024,United States,175762,USD,175762,United States,Medium
Data Science,Executive-level,Full-time,On-site,2024,United States,97254,USD,97254,United States,Medium
Applied Scientist,Senior-level,Full-time,Remote,2024,United States,218213,USD,218213,United States,Medium
Applied Scientist,Senior-level,Full-time,Remote,2024,United States,178538,USD,178538,United States,Medium
Research Engineer,Mid-level,Full-time,On-site,2024,United States,440000,USD,440000,United States,Medium
Research Engineer,Mid-level,Full-time,On-site,2024,United States,295000,USD,295000,United States,Medium
Research Engineer,Mid-level,Full-time,On-site,2024,United States,118600,USD,118600,United States,Medium
Research Engineer,Mid-level,Full-time,On-site,2024,United States,96800,USD,96800,United States,Medium
Data Scientist,Mid-level,Full-time,On-site,2024,United States,198800,USD,198800,United States,Medium
Data Scientist,Mid-level,Full-time,On-site,2024,United States,90700,USD,90700,United States,Medium
Data Engineer,Senior-level,Full-time,On-site,2024,United States,145000,USD,145000,United States,Medium
Data Engineer,Senior-level,Full-time,On-site,2024,United States,115000,USD,115000,United States,Medium
Data Engineer,Senior-level,Full-time,On-site,2024,United States,269100,USD,269100,United States,Medium
Data Engineer,Senior-level,Full-time,On-site,2024,United States,131300,USD,131300,United States,Medium
Research Engineer,Mid-level,Full-time,On-site,2024,United States,245000,USD,245000,United States,Medium
Data Analyst,Entry-level,Full-time,On-site,2024,United States,99900,USD,99900,United States,Medium
Data Analyst,Entry-level,Full-time,On-site,2024,United States,83000,USD,83000,United States,Medium
Research Engineer,Mid-level,Full-time,On-site,2024,United States,240960,USD,240960,United States,Medium
Research Engineer,Mid-level,Full-time,On-site,2024,United States,190000,USD,190000,United States,Medium
Data Architect,Senior-level,Full-time,On-site,2024,United States,178600,USD,178600,United States,Medium
Data Architect,Senior-level,Full-time,On-site,2024,United States,67200,USD,67200,United States,Medium
Data Visualization Specialist,Mid-level,Full-time,On-site,2024,United States,170200,USD,170200,United States,Medium
Data Visualization Specialist,Mid-level,Full-time,On-site,2024,United States,83900,USD,83900,United States,Medium
Data Analyst,Senior-level,Full-time,Remote,2024,United States,169000,USD,169000,United States,Medium
Data Analyst,Senior-level,Full-time,Remote,2024,United States,120000,USD,120000,United States,Medium
Research Engineer,Senior-level,Full-time,On-site,2024,United States,450000,USD,450000,United States,Medium
Research Engineer,Senior-level,Full-time,On-site,2024,United States,245000,USD,245000,United States,Medium
ETL Developer,Senior-level,Full-time,On-site,2024,United States,99500,USD,99500,United States,Medium
ETL Developer,Senior-level,Full-time,On-site,2024,United States,53300,USD,53300,United States,Medium
Research Engineer,Senior-level,Full-time,On-site,2024,United States,240960,USD,240960,United States,Medium
Research Engineer,Senior-level,Full-time,On-site,2024,United States,200800,USD,200800,United States,Medium
Data Science Practitioner,Mid-level,Full-time,On-site,2024,United States,170200,USD,170200,United States,Medium
Data Science Practitioner,Mid-level,Full-time,On-site,2024,United States,83900,USD,83900,United States,Medium
Data Engineer,Mid-level,Full-time,Remote,2024,United States,125000,USD,125000,United States,Medium
Data Engineer,Mid-level,Full-time,Remote,2024,United States,115000,USD,115000,United States,Medium
Data Science,Senior-level,Full-time,On-site,2024,United States,261050,USD,261050,United States,Medium
Data Science,Senior-level,Full-time,On-site,2024,United States,187000,USD,187000,United States,Medium
Machine Learning Engineer,Senior-level,Full-time,On-site,2024,United States,331640,USD,331640,United States,Medium
Machine Learning Engineer,Senior-level,Full-time,On-site,2024,United States,283780,USD,283780,United States,Medium
Data Analyst,Senior-level,Full-time,On-site,2024,United States,146500,USD,146500,United States,Medium
Data Analyst,Senior-level,Full-time,On-site,2024,United States,96000,USD,96000,United States,Medium
Computer Vision Engineer,Senior-level,Full-time,On-site,2024,United States,235000,USD,235000,United States,Medium
Computer Vision Engineer,Senior-level,Full-time,On-site,2024,United States,185000,USD,185000,United States,Medium
Data Scientist,Mid-level,Full-time,Remote,2024,United States,140400,USD,140400,United States,Medium
Data Scientist,Mid-level,Full-time,Remote,2024,United States,90000,USD,90000,United States,Medium
Research Scientist,Senior-level,Full-time,On-site,2024,United States,440000,USD,440000,United States,Medium
Research Scientist,Senior-level,Full-time,On-site,2024,United States,245000,USD,245000,United States,Medium
Data Architect,Senior-level,Full-time,On-site,2024,United States,76300,USD,76300,United States,Medium
Data Engineer,Senior-level,Full-time,On-site,2024,United States,260000,USD,260000,United States,Medium
Data Engineer,Senior-level,Full-time,On-site,2024,United States,225000,USD,225000,United States,Medium
Data Engineer,Senior-level,Full-time,On-site,2024,United States,165000,USD,165000,United States,Medium
Data Engineer,Senior-level,Full-time,On-site,2024,United States,137000,USD,137000,United States,Medium
Applied Scientist,Senior-level,Full-time,On-site,2024,United States,260000,USD,260000,United States,Large
Applied Scientist,Senior-level,Full-time,On-site,2024,United States,136000,USD,136000,United States,Large
Data Scientist,Senior-level,Full-time,On-site,2024,United States,296100,USD,296100,United States,Medium
Data Scientist,Senior-level,Full-time,On-site,2024,United States,144500,USD,144500,United States,Medium
Research Scientist,Senior-level,Full-time,On-site,2024,United States,278700,USD,278700,United States,Medium
Research Scientist,Senior-level,Full-time,On-site,2024,United States,159300,USD,159300,United States,Medium
Data Scientist,Senior-level,Full-time,Remote,2024,United States,206000,USD,206000,United States,Medium
Data Scientist,Senior-level,Full-time,Remote,2024,United States,140250,USD,140250,United States,Medium
Analytics Engineer,Mid-level,Full-time,On-site,2024,United States,100000,USD,100000,United States,Medium
Analytics Engineer,Mid-level,Full-time,On-site,2024,United States,75000,USD,75000,United States,Medium
Data Lead,Senior-level,Full-time,On-site,2024,United States,180000,USD,180000,United States,Medium
Data Lead,Senior-level,Full-time,On-site,2024,United States,140000,USD,140000,United States,Medium
Data Analyst,Senior-level,Full-time,On-site,2024,United States,116800,USD,116800,United States,Medium
Data Analyst,Senior-level,Full-time,On-site,2024,United States,87600,USD,87600,United States,Medium
Data Scientist,Senior-level,Full-time,On-site,2024,United States,170000,USD,170000,United States,Medium
Data Scientist,Senior-level,Full-time,On-site,2024,United States,125000,USD,125000,United States,Medium
Data Architect,Senior-level,Full-time,On-site,2024,United States,283500,USD,283500,United States,Medium
Data Architect,Senior-level,Full-time,On-site,2024,United States,149000,USD,149000,United States,Medium
ML Engineer,Senior-level,Full-time,On-site,2024,United States,357900,USD,357900,United States,Medium
ML Engineer,Senior-level,Full-time,On-site,2024,United States,189400,USD,189400,United States,Medium
Data Scientist,Senior-level,Full-time,On-site,2024,United States,212000,USD,212000,United States,Medium
Data Scientist,Senior-level,Full-time,On-site,2024,United States,93400,USD,93400,United States,Medium
Data Engineer,Senior-level,Full-time,On-site,2024,United States,128656,USD,128656,United States,Medium
Data Engineer,Senior-level,Full-time,On-site,2024,United States,103330,USD,103330,United States,Medium
Machine Learning Engineer,Senior-level,Full-time,On-site,2024,United States,250900,USD,250900,United States,Medium
Machine Learning Engineer,Senior-level,Full-time,On-site,2024,United States,135200,USD,135200,United States,Medium
Applied Scientist,Senior-level,Full-time,On-site,2024,United States,414000,USD,414000,United States,Medium
Applied Scientist,Senior-level,Full-time,On-site,2024,United States,216000,USD,216000,United States,Medium
Data Specialist,Mid-level,Full-time,On-site,2024,United States,69000,USD,69000,United States,Medium
Data Specialist,Mid-level,Full-time,On-site,2024,United States,51000,USD,51000,United States,Medium
Data Analyst,Senior-level,Full-time,On-site,2024,United States,109000,USD,109000,United States,Medium
Data Analyst,Senior-level,Full-time,On-site,2024,United States,62300,USD,62300,United States,Medium
Analytics Engineer,Mid-level,Full-time,On-site,2024,United States,134160,USD,134160,United States,Medium
Analytics Engineer,Mid-level,Full-time,On-site,2024,United States,72240,USD,72240,United States,Medium
Data Analyst,Mid-level,Full-time,On-site,2024,United States,90500,USD,90500,United States,Medium
Data Analyst,Mid-level,Full-time,On-site,2024,United States,42400,USD,42400,United States,Medium
Data Architect,Senior-level,Full-time,On-site,2024,United States,381500,USD,381500,United States,Medium
Data Architect,Senior-level,Full-time,On-site,2024,United States,202500,USD,202500,United States,Medium
Machine Learning Engineer,Senior-level,Full-time,On-site,2024,United States,257000,USD,257000,United States,Medium
Machine Learning Engineer,Senior-level,Full-time,On-site,2024,United States,129000,USD,129000,United States,Medium
Data Analyst,Entry-level,Full-time,Remote,2024,United States,120000,USD,120000,United States,Medium
Data Analyst,Entry-level,Full-time,Remote,2024,United States,100000,USD,100000,United States,Medium
Data Analyst,Entry-level,Full-time,On-site,2024,United States,80000,USD,80000,United States,Medium
Data Analyst,Entry-level,Full-time,On-site,2024,United States,45700,USD,45700,United States,Medium
Data Science,Senior-level,Full-time,On-site,2024,United States,138000,USD,138000,United States,Medium
Data Science,Senior-level,Full-time,On-site,2024,United States,86000,USD,86000,United States,Medium
Data Science,Senior-level,Full-time,On-site,2024,United States,152000,USD,152000,United States,Medium
Data Science,Senior-level,Full-time,On-site,2024,United States,133200,USD,133200,United States,Medium
Data Analyst,Senior-level,Full-time,On-site,2024,United States,135000,USD,135000,United States,Medium
Data Analyst,Senior-level,Full-time,On-site,2024,United States,120000,USD,120000,United States,Medium
Data Engineer,Senior-level,Full-time,On-site,2024,United States,175000,USD,175000,United States,Medium
Data Engineer,Senior-level,Full-time,On-site,2024,United States,150000,USD,150000,United States,Medium
Data Developer,Mid-level,Full-time,On-site,2024,United States,100000,USD,100000,United States,Medium
Data Developer,Mid-level,Full-time,On-site,2024,United States,95000,USD,95000,United States,Medium
Data Analyst,Senior-level,Full-time,Remote,2024,United States,134200,USD,134200,United States,Medium
Data Analyst,Senior-level,Full-time,Remote,2024,United States,117000,USD,117000,United States,Medium
Research Scientist,Mid-level,Full-time,On-site,2024,United States,179000,USD,179000,United States,Medium
Research Scientist,Mid-level,Full-time,On-site,2024,United States,112000,USD,112000,United States,Medium
Data Architect,Senior-level,Full-time,On-site,2024,United States,234000,USD,234000,United States,Medium
Data Architect,Senior-level,Full-time,On-site,2024,United States,146000,USD,146000,United States,Medium
Data Analyst,Entry-level,Full-time,Remote,2024,United States,75065,USD,75065,United States,Medium
Data Analyst,Entry-level,Full-time,Remote,2024,United States,41419,USD,41419,United States,Medium
Data Engineer,Mid-level,Full-time,On-site,2024,United States,107800,USD,107800,United States,Medium
Data Engineer,Mid-level,Full-time,On-site,2024,United States,61600,USD,61600,United States,Medium
ML Engineer,Senior-level,Full-time,On-site,2024,United States,324000,USD,324000,United States,Medium
ML Engineer,Senior-level,Full-time,On-site,2024,United States,159000,USD,159000,United States,Medium
Data Analyst,Entry-level,Full-time,Remote,2024,United States,80000,USD,80000,United States,Medium
Data Analyst,Entry-level,Full-time,Remote,2024,United States,75000,USD,75000,United States,Medium
Research Scientist,Senior-level,Full-time,On-site,2024,United States,179000,USD,179000,United States,Medium
Research Scientist,Senior-level,Full-time,On-site,2024,United States,112000,USD,112000,United States,Medium
Data Engineer,Senior-level,Full-time,On-site,2024,United States,247300,USD,247300,United States,Medium
Data Engineer,Senior-level,Full-time,On-site,2024,United States,139700,USD,139700,United States,Medium
Data Analyst,Entry-level,Full-time,On-site,2024,United States,93000,USD,93000,United States,Medium
Data Analyst,Entry-level,Full-time,On-site,2024,United States,65750,USD,65750,United States,Medium
Research Scientist,Senior-level,Full-time,On-site,2024,United States,234000,USD,234000,United States,Medium
Research Scientist,Senior-level,Full-time,On-site,2024,United States,146000,USD,146000,United States,Medium
Data Engineer,Mid-level,Full-time,On-site,2024,United States,130000,USD,130000,United States,Medium
Data Engineer,Mid-level,Full-time,On-site,2024,United States,90800,USD,90800,United States,Medium
Data Engineer,Mid-level,Full-time,On-site,2024,United States,166000,USD,166000,United States,Medium
Data Engineer,Mid-level,Full-time,On-site,2024,United States,73100,USD,73100,United States,Medium
Data Scientist,Mid-level,Full-time,On-site,2024,United States,166000,USD,166000,United States,Medium
Data Scientist,Mid-level,Full-time,On-site,2024,United States,73100,USD,73100,United States,Medium
Machine Learning Engineer,Senior-level,Full-time,On-site,2024,United States,186754,USD,186754,United States,Medium
Machine Learning Engineer,Senior-level,Full-time,On-site,2024,United States,101000,USD,101000,United States,Medium
Data Scientist,Senior-level,Full-time,On-site,2024,United States,64000,GBP,80000,United States,Medium
Data Scientist,Senior-level,Full-time,On-site,2024,United States,54000,GBP,67500,United States,Medium
Data Engineer,Senior-level,Full-time,On-site,2024,United States,138000,USD,138000,United States,Medium
Data Engineer,Senior-level,Full-time,On-site,2024,United States,86000,USD,86000,United States,Medium
Data Engineer,Mid-level,Full-time,On-site,2024,United States,106050,USD,106050,United States,Medium
Data Engineer,Mid-level,Full-time,On-site,2024,United States,80420,USD,80420,United States,Medium
Data Analyst,Entry-level,Full-time,On-site,2024,United States,179000,USD,179000,United States,Medium
Data Analyst,Entry-level,Full-time,On-site,2024,United States,112000,USD,112000,United States,Medium
Research Engineer,Senior-level,Full-time,On-site,2024,United States,234000,USD,234000,United States,Medium
Research Engineer,Senior-level,Full-time,On-site,2024,United States,146000,USD,146000,United States,Medium
Data Architect,Senior-level,Full-time,On-site,2024,United States,186000,USD,186000,United States,Medium
Data Architect,Senior-level,Full-time,On-site,2024,United States,81800,USD,81800,United States,Medium
Data Engineer,Senior-level,Full-time,On-site,2024,United States,160000,USD,160000,United States,Medium
Data Engineer,Senior-level,Full-time,On-site,2024,United States,94100,USD,94100,United States,Medium
Data Engineer,Executive-level,Full-time,On-site,2024,United States,225000,USD,225000,United States,Medium
Data Engineer,Executive-level,Full-time,On-site,2024,United States,215000,USD,215000,United States,Medium
Machine Learning Engineer,Senior-level,Full-time,Remote,2024,United States,303400,USD,303400,United States,Medium
Machine Learning Engineer,Senior-level,Full-time,Remote,2024,United States,216700,USD,216700,United States,Medium
Machine Learning Engineer,Mid-level,Full-time,On-site,2024,United States,166000,USD,166000,United States,Medium
Machine Learning Engineer,Mid-level,Full-time,On-site,2024,United States,73100,USD,73100,United States,Medium
Data Modeler,Senior-level,Full-time,Remote,2024,United States,130000,USD,130000,United States,Medium
Data Modeler,Senior-level,Full-time,Remote,2024,United States,110000,USD,110000,United States,Medium
Data Engineer,Mid-level,Full-time,On-site,2024,United States,115000,USD,115000,United States,Medium
Data Engineer,Mid-level,Full-time,On-site,2024,United States,80000,USD,80000,United States,Medium
Machine Learning Engineer,Senior-level,Full-time,Remote,2024,United States,195000,USD,195000,United States,Medium
Machine Learning Engineer,Senior-level,Full-time,Remote,2024,United States,170000,USD,170000,United States,Medium
Research Scientist,Senior-level,Full-time,On-site,2024,United States,295000,USD,295000,United States,Medium
Data Engineer,Senior-level,Full-time,Remote,2024,United States,152375,USD,152375,United States,Medium
Data Engineer,Senior-level,Full-time,Remote,2024,United States,94000,USD,94000,United States,Medium
Data Developer,Senior-level,Full-time,Remote,2024,United States,180000,USD,180000,United States,Medium
Data Developer,Senior-level,Full-time,Remote,2024,United States,130000,USD,130000,United States,Medium
Analytics Engineer,Senior-level,Full-time,Remote,2024,United States,195000,USD,195000,United States,Medium
Analytics Engineer,Senior-level,Full-time,Remote,2024,United States,165000,USD,165000,United States,Medium
Data Scientist,Mid-level,Full-time,On-site,2024,United States,218000,USD,218000,United States,Medium
Data Scientist,Mid-level,Full-time,On-site,2024,United States,152600,USD,152600,United States,Medium
Machine Learning Scientist,Mid-level,Full-time,On-site,2024,United States,750000,USD,750000,United States,Medium
Machine Learning Scientist,Mid-level,Full-time,On-site,2024,United States,150000,USD,150000,United States,Medium
Data Scientist,Senior-level,Full-time,On-site,2024,United States,136197,USD,136197,United States,Medium
Data Scientist,Senior-level,Full-time,On-site,2024,United States,100000,USD,100000,United States,Medium
Research Engineer,Senior-level,Full-time,On-site,2024,United States,295000,USD,295000,United States,Medium
Data Engineer,Executive-level,Full-time,On-site,2024,United States,179000,USD,179000,United States,Medium
Data Engineer,Executive-level,Full-time,On-site,2024,United States,112000,USD,112000,United States,Medium
Data Scientist,Mid-level,Full-time,On-site,2024,United States,175100,USD,175100,United States,Medium
Data Scientist,Mid-level,Full-time,On-site,2024,United States,82915,USD,82915,United States,Medium
Data Science Consultant,Senior-level,Full-time,On-site,2024,United States,112000,USD,112000,United States,Medium
Data Science Consultant,Senior-level,Full-time,On-site,2024,United States,109000,USD,109000,United States,Medium
Analytics Engineer,Mid-level,Full-time,On-site,2024,United States,116550,USD,116550,United States,Medium
Analytics Engineer,Mid-level,Full-time,On-site,2024,United States,79200,USD,79200,United States,Medium
Data Scientist,Mid-level,Full-time,Remote,2024,United States,168000,USD,168000,United States,Medium
